route_b_item,route_b_store,route_b_state,similar_item,similar_store,similar_state,similarity_rank,similarity_score,similar_cat,similar_dept,similar_price_band
FOODS_3_189,CA_2,CA,FOODS_3_118,CA_2,CA,1,0.99999976,FOODS,FOODS_3,low
FOODS_3_189,CA_2,CA,FOODS_3_744,CA_2,CA,2,0.99999976,FOODS,FOODS_3,low
FOODS_3_189,CA_2,CA,FOODS_3_583,CA_2,CA,3,0.99999976,FOODS,FOODS_3,low
FOODS_3_189,CA_2,CA,FOODS_3_643,CA_2,CA,4,0.98648405,FOODS,FOODS_3,low
FOODS_3_189,CA_2,CA,FOODS_2_364,CA_2,CA,5,0.98610705,FOODS,FOODS_2,low
FOODS_3_189,WI_2,WI,FOODS_3_038,WI_2,WI,1,0.9932161,FOODS,FOODS_3,high
FOODS_3_189,WI_2,WI,FOODS_3_796,WI_2,WI,2,0.9894659,FOODS,FOODS_3,mid
FOODS_3_189,WI_2,WI,FOODS_3_145,WI_2,WI,3,0.9894659,FOODS,FOODS_3,mid
FOODS_3_189,WI_2,WI,FOODS_3_343,WI_2,WI,4,0.9894659,FOODS,FOODS_3,mid
FOODS_3_189,WI_2,WI,FOODS_3_637,WI_2,WI,5,0.97222584,FOODS,FOODS_3,mid
FOODS_3_439,CA_2,CA,FOODS_3_796,CA_2,CA,1,1.0,FOODS,FOODS_3,mid
FOODS_3_439,CA_2,CA,FOODS_3_118,CA_2,CA,2,0.9858731,FOODS,FOODS_3,low
FOODS_3_439,CA_2,CA,FOODS_3_583,CA_2,CA,3,0.9858731,FOODS,FOODS_3,low
FOODS_3_439,CA_2,CA,FOODS_3_744,CA_2,CA,4,0.9858731,FOODS,FOODS_3,low
FOODS_3_439,CA_2,CA,FOODS_1_171,CA_2,CA,5,0.98561263,FOODS,FOODS_1,mid
FOODS_3_439,WI_2,WI,FOODS_3_395,WI_2,WI,1,0.98827595,FOODS,FOODS_3,mid
FOODS_3_439,WI_2,WI,FOODS_3_744,WI_2,WI,2,0.9859565,FOODS,FOODS_3,low
FOODS_3_439,WI_2,WI,FOODS_3_207,WI_2,WI,3,0.9859565,FOODS,FOODS_3,low
FOODS_3_439,WI_2,WI,FOODS_3_118,WI_2,WI,4,0.9859565,FOODS,FOODS_3,low
FOODS_3_439,WI_2,WI,FOODS_2_186,WI_2,WI,5,0.9787167,FOODS,FOODS_2,high
HOBBIES_2_139,CA_2,CA,HOBBIES_2_024,CA_2,CA,1,0.9885397,HOBBIES,HOBBIES_2,mid
HOBBIES_2_139,CA_2,CA,HOBBIES_2_080,CA_2,CA,2,0.9819058,HOBBIES,HOBBIES_2,mid
HOBBIES_2_139,CA_2,CA,HOBBIES_1_107,CA_2,CA,3,0.97376394,HOBBIES,HOBBIES_1,mid
HOBBIES_2_139,CA_2,CA,HOBBIES_1_184,CA_2,CA,4,0.95998186,HOBBIES,HOBBIES_1,high
HOBBIES_2_139,CA_2,CA,HOUSEHOLD_2_349,CA_2,CA,5,0.8899036,HOUSEHOLD,HOUSEHOLD_2,mid
HOBBIES_2_139,WI_2,WI,HOBBIES_2_024,WI_2,WI,1,1.0,HOBBIES,HOBBIES_2,mid
HOBBIES_2_139,WI_2,WI,HOBBIES_2_080,WI_2,WI,2,1.0,HOBBIES,HOBBIES_2,mid
HOBBIES_2_139,WI_2,WI,HOBBIES_1_184,WI_2,WI,3,0.9803412,HOBBIES,HOBBIES_1,high
HOBBIES_2_139,WI_2,WI,HOBBIES_1_352,WI_2,WI,4,0.952878,HOBBIES,HOBBIES_1,low
HOBBIES_2_139,WI_2,WI,HOBBIES_1_107,WI_2,WI,5,0.94391525,HOBBIES,HOBBIES_1,mid
HOUSEHOLD_1_486,CA_2,CA,HOUSEHOLD_1_375,CA_2,CA,1,1.0,HOUSEHOLD,HOUSEHOLD_1,high
HOUSEHOLD_1_486,CA_2,CA,HOUSEHOLD_2_402,CA_2,CA,2,0.99133736,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_1_486,CA_2,CA,HOUSEHOLD_2_188,CA_2,CA,3,0.99133736,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_1_486,CA_2,CA,HOUSEHOLD_1_331,CA_2,CA,4,0.9839122,HOUSEHOLD,HOUSEHOLD_1,mid
HOUSEHOLD_1_486,CA_2,CA,HOUSEHOLD_2_488,CA_2,CA,5,0.97689986,HOUSEHOLD,HOUSEHOLD_2,mid
HOUSEHOLD_1_486,WI_2,WI,HOUSEHOLD_1_004,WI_2,WI,1,0.983891,HOUSEHOLD,HOUSEHOLD_1,low
HOUSEHOLD_1_486,WI_2,WI,HOUSEHOLD_1_004,CA_2,CA,2,0.90269506,HOUSEHOLD,HOUSEHOLD_1,low
HOUSEHOLD_1_486,WI_2,WI,HOUSEHOLD_1_090,CA_2,CA,3,0.89703834,HOUSEHOLD,HOUSEHOLD_1,mid
HOUSEHOLD_1_486,WI_2,WI,HOUSEHOLD_1_272,WI_2,WI,4,0.88965344,HOUSEHOLD,HOUSEHOLD_1,high
HOUSEHOLD_1_486,WI_2,WI,HOUSEHOLD_1_008,WI_2,WI,5,0.88965344,HOUSEHOLD,HOUSEHOLD_1,high
HOUSEHOLD_2_364,CA_2,CA,HOUSEHOLD_2_402,CA_2,CA,1,1.0,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,CA_2,CA,HOUSEHOLD_2_188,CA_2,CA,2,1.0,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,CA_2,CA,HOUSEHOLD_1_375,CA_2,CA,3,0.99133736,HOUSEHOLD,HOUSEHOLD_1,high
HOUSEHOLD_2_364,CA_2,CA,HOUSEHOLD_2_488,CA_2,CA,4,0.9840304,HOUSEHOLD,HOUSEHOLD_2,mid
HOUSEHOLD_2_364,CA_2,CA,HOUSEHOLD_2_349,CA_2,CA,5,0.9807266,HOUSEHOLD,HOUSEHOLD_2,mid
HOUSEHOLD_2_364,WI_2,WI,HOUSEHOLD_2_341,WI_2,WI,1,1.0000001,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,WI_2,WI,HOUSEHOLD_2_402,WI_2,WI,2,1.0000001,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,WI_2,WI,HOUSEHOLD_2_130,WI_2,WI,3,1.0000001,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,WI_2,WI,HOUSEHOLD_2_188,WI_2,WI,4,1.0000001,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,WI_2,WI,HOUSEHOLD_1_375,WI_2,WI,5,0.99166584,HOUSEHOLD,HOUSEHOLD_1,high
